District ,Both alive,Mother alive & ,Father alive &,Both dead,Total
Buikwe,205233,11768,4395,2523,223919
Bukomansimbi,79077,4571,2129,1031,86808
Butambala,54042,2832,1225,718,58817
Buvuma,39471,1723,576,285,42055
Gomba,81973,4853,2218,1053,90097
Kalangala ,16513,1017,377,212,18119
Kalungu,92834,5599,2421,1309,102163
Kampala,559833,29868,10866,6978,607545
Kayunga,198057,10266,3723,1630,213676
Kiboga,71070,4619,1788,870,78347
Kyankwanzi,107092,5249,2412,873,115626
Luwero,228867,12596,5265,2522,249250
Lwengo,144452,8851,3385,1862,158550
Lyantonde,46055,2793,977,509,50334
Masaka,137681,7980,3640,2013,151314
Mityana,159220,9926,4208,2383,175737
Mpigi,122337,6879,3071,1738,134025
Mubende,342824,19138,7356,3349,372667
Mukono,277095,15297,6470,3546,302408
Nakaseke,91090,5266,2174,1086,99616
Nakasongola,92096,5356,1650,828,99930
Rakai,264274,15785,6180,3341,289580
Ssembabule,129955,7553,3005,1359,141872
Wakiso,868135,41389,17253,9847,936624
Amuria,148491,9921,2005,1028,161445
Budaka,116705,4325,1445,540,123015
Bududa,112718,4729,3172,1965,122584
Bugiri,216587,9129,2705,1159,229580
Bukedea,111594,5267,1482,626,118969
Bukwo,49124,1862,597,195,51778
Bulambuli,89217,4013,2754,1725,97709
Busia,170260,9985,2725,1519,184489
Butaleja,139865,4652,1585,551,146653
Buyende,187820,7214,2526,929,198489
Iganga,271778,10086,3270,1532,286666
Jinja,227833,11108,3650,1958,244549
Kaberamaido,116176,7398,1692,825,126091
Kaliro,134299,4224,1496,529,140548
Kamuli,268465,11249,3608,1826,285148
Kapchorwa,52658,2082,1073,356,56169
Katakwi,83249,7194,1417,901,92761
Kibuku,116609,3517,1309,472,121907
Kumi,127826,7083,1541,745,137195
Kween,50088,1676,733,145,52642
Luuka,134314,5468,1697,710,142189
Manafwa,192499,7203,3013,839,203554
Mayuge,259445,10750,4733,1660,276588
Mbale,240099,9272,6163,1695,257229
Namayingo,117299,5834,1663,810,125606
Namutumba,144473,4810,1627,790,151700
Ngora,75749,4138,814,393,81094
Pallisa,220025,7752,2393,767,230937
Serere,157960,7345,1876,786,167967
Sironko,123244,4933,2457,1124,131758
Soroti,151712,8954,1871,1005,163542
Tororo,270034,14820,4173,2100,291127
Abim,54490,5465,1568,2223,63746
Adjumani,115187,14095,2250,1872,133404
Agago,119569,11225,2318,1917,135029
Alebtong,116784,10686,2031,1359,130860
Amolatar,74575,5353,1339,798,82065
Amudat,57945,2071,827,446,61289
Amuru,99863,7452,1615,1238,110168
Apac,186708,13826,3249,2748,206531
Arua,392675,26905,7143,2462,429185
Dokolo,94788,7131,1753,970,104642
Gulu,205735,20249,3786,3519,233289
Kaabong,81711,8144,1915,1079,92849
Kitgum,101972,9308,1913,1385,114578
Koboko,110335,5945,1848,740,118868
Kole,122869,9402,1891,1569,135731
Kotido,88923,6306,1764,1038,98031
Lamwo,70393,5446,1345,919,78103
Lira,191764,17297,3582,3050,215693
Maracha,97338,6677,1711,467,106193
Moroto,48541,4428,1221,798,54988
Moyo,68010,5696,1718,964,76388
Nakapiripirit,76687,6281,2539,1432,86939
Napak,72056,6437,1980,1158,81631
Nebbi,202094,14695,3854,2033,222676
Nwoya,68691,6065,1138,985,76879
Otuke,52192,5577,999,763,59531
Oyam,198058,14677,3787,2180,218702
Pader,89686,9719,1747,1716,102868
Yumbe,274108,18075,10821,7284,310288
Zombo,126806,8199,2586,1052,138643
Buhweju,62986,3463,832,293,67574
Buliisa,55624,3572,1071,472,60739
Bundibugyo,116832,5643,2252,772,125499
Bushenyi,107170,6775,2224,1295,117464
Hoima,283738,14553,5154,2214,305659
Ibanda,118818,7601,2384,1143,129946
Isingiro,248510,15599,3943,2316,270368
Kabale,246124,17037,3997,2475,269633
Kabarole,220362,14931,5818,3695,244806
Kamwenge,211311,13237,4482,1884,230914
Kanungu,122517,8599,2435,1446,134997
Kasese,366833,13092,4319,1361,385605
Kibaale,415124,21971,8238,3080,448413
Kiruhura,155009,9623,3515,1579,169726
Kiryandongo,139706,8658,2350,1306,152020
Kisoro,147537,8879,1976,870,159262
Kyegegwa,145651,8383,3022,1373,158429
Kyenjojo,214393,14058,5013,2853,236317
Masindi,139894,7146,2591,1165,150796
Mbarara,208701,13617,4031,2115,228464
Mitooma,91756,6414,1894,1048,101112
Ntoroko,33374,1846,765,284,36269
Ntungamo,238829,16337,4451,2418,262035
Rubirizi,65418,4293,1362,751,71824
Rukungiri,148289,11553,3145,2290,165277
Sheema,94297,6197,2047,1040,103581
Total ,17346847,1015076,329578,175772,18867273
