District,Male,Female,Total
Buikwe,1.6,6.7,4.1
Bukomansimbi,1.2,4.6,2.8
Butambala,1.4,5.5,3.4
Buvuma,2.7,10.6,6.5
Gomba,0.6,4,2.2
Kalangala,1.5,8.6,4.8
Kalungu,0.8,4,2.3
Kampala,1.2,4.3,2.9
Kayunga,1.5,6.5,4
Kiboga,1.1,4.8,2.9
Kyankwanzi,1.3,6.5,3.8
Luwero,1.3,5.7,3.4
Lwengo,1.2,5.3,3.2
Lyantonde,0.8,5.9,3.3
Masaka,0.9,4.2,2.5
Mityana,1.8,6.9,4.2
Mpigi,1.2,5.2,3.1
Mubende,1.8,7.4,4.5
Mukono,2.4,8.7,5.5
Nakaseke,1.8,7.3,4.5
Nakasongola,0.8,4.9,2.8
Rakai,1.5,6.3,3.8
Ssembabule,1,4.6,2.7
Wakiso,1.3,5.3,3.5
Amuria,1.4,5.7,3.5
Budaka,0.9,5.8,3.3
Bududa,1,5.7,3.3
Bugiri,1.5,7.2,4.3
Bukedea,0.9,4.7,2.7
Bukwo,0.8,5.9,3.3
Bulambuli,1.8,7.3,4.6
Busia,0.8,5.6,3.2
Butaleja,1.5,7.5,4.5
Buyende,2.2,8.7,5.4
Iganga,2.3,6.8,4.6
Jinja,1.3,5.4,3.5
Kaberamaido,1.1,5.9,3.4
Kaliro,1.6,6,3.7
Kamuli,1.6,6.1,3.8
Kapchorwa,1.2,5.7,3.5
Katakwi,1.5,5,3.3
Kibuku,1.7,7.2,4.4
Kumi,0.8,3.9,2.3
Kween,1.3,5.1,3.1
Luuka,2.2,7,4.6
Manafwa,1.2,6.7,3.9
Mayuge,2.8,9.6,6.1
Mbale,1.5,7.5,4.7
Namayingo,2.1,8.9,5.4
Namutumba,1.5,6.4,3.8
Ngora,0.8,3.5,2.1
Pallisa,2.3,7.7,5
Serere,1.5,6.4,4
Sironko,1.1,6.6,3.8
Soroti,2,6.3,4.2
Tororo,2,7.8,4.9
Abim,0.9,4.1,2.5
Adjumani,1.1,4.5,2.7
Agago,1.9,6.8,4.3
Alebtong,1.6,6.3,3.9
Amolatar,1.8,8,4.9
Amudat,2.6,7.4,4.9
Amuru,3.3,10,6.6
Apac,1.6,5.9,3.8
Arua,2,7.1,4.6
Dokolo,0.8,4.7,2.7
Gulu,2.3,8,5.2
Kaabong,1.5,3.5,2.6
Kitgum,2.1,7.4,4.7
Koboko,1,4.9,2.9
Kole,2.4,9.6,6
Kotido,2,4.3,3.2
Lamwo,1.7,6.1,3.9
Lira,1.7,6.6,4.2
Maracha,1.1,5.8,3.4
Moroto,3.2,9.3,6.4
Moyo,0.7,3.5,2
Nakapiripirit,2.9,6.3,4.6
Napak,2.3,6.4,4.4
Nebbi,1.1,7.9,4.5
Nwoya,1.8,9.6,5.6
Otuke,1.3,6.3,3.7
Oyam,3.4,11,7.2
Pader,2.8,8.2,5.4
Yumbe,1.1,4,2.6
Zombo,1.9,9.2,5.4
Buhweju,1.8,7.1,4.5
Buliisa,1.9,9.5,5.7
Bundibugyo,3.8,13.5,8.7
Bushenyi,1.1,4.3,2.7
Hoima,2.1,9.8,5.9
Ibanda,1.5,5.9,3.7
Isingiro,2,7,4.5
Kabale,1.2,4.7,3
Kabarole,1.4,7,4.2
Kamwenge,1.3,5.9,3.5
Kanungu,1.7,5.8,3.7
Kasese,1.7,7,4.4
Kibaale,1.4,7.3,4.3
Kiruhura,1.6,5.4,3.5
Kiryandongo,2.6,10.6,6.5
Kisoro,1.6,4.6,3.1
Kyegegwa,1.8,8,4.8
Kyenjojo,1.5,6.9,4.1
Masindi,1.8,9.2,5.4
Mbarara,1.3,5,3.2
Mitooma,1.2,5.6,3.4
Ntoroko,1,7.1,4
Ntungamo,1.5,5.1,3.3
Rubirizi,0.5,3.7,2.1
Rukungiri,1.1,4.4,2.8
Sheema,1,3.7,2.3
Total,1.6,6.5,4
