 Age in Single Years , Rural , Urban , Total  
    Less Than One Year ,977307,245405,1222712
1,932976,225253,1158229
2,1006351,236895,1243246
3,1038582,238886,1277468
4,1004012,225586,1229598
 0 to 4 ,4959228,1172025,6131253
5,941423,208710,1150133
6,978992,210500,1189492
7,913096,201234,1114330
8,914325,190538,1104863
9,817223,175797,993020
 5 to 9 ,4565059,986779,5551838
10,903750,189515,1093265
11,702924,154000,856924
12,830740,177305,1008045
13,739608,170210,909818
14,854736,197688,1052424
 10 to 14 ,4031758,888718,4920476
15,651375,166326,817701
16,684088,181998,866086
17,575292,175166,750458
18,651417,201242,852659
19,497823,172324,670147
 15 to 19 ,3059995,897056,3957051
20,615104,221331,836435
21,402117,161520,563637
22,466630,190069,656699
23,378603,165246,543849
24,406370,178354,584724
 20 to 24 ,2268824,916520,3185344
25,399816,176693,576509
26,334206,141088,475294
27,332646,144364,477010
28,407057,166982,574039
29,273311,109762,383073
 25 to 29 ,1747036,738889,2485925
30,440491,167132,607623
31,223858,80678,304536
32,315968,115767,431735
33,185683,64456,250139
34,266308,91150,357458
 30 to 34 ,1432308,519183,1951491
35,318468,116625,435093
36,210773,68492,279265
37,193992,63159,257151
38,238257,77179,315436
39,189804,59044,248848
 35 to 39 ,1151294,384499,1535793
40,320952,95398,416350
41,153489,41875,195364
42,210235,58697,268932
43,146918,40857,187775
44,162079,41841,203920
 40 to 44 ,993673,278668,1272341
45,211972,60937,272909
46,135045,34555,169600
47,116868,29956,146824
48,159057,39428,198485
49,107210,26048,133258
 45 to 49 ,730152,190924,921076
50,212820,50025,262845
51,99005,22752,121757
52,145868,33189,179057
53,82963,18402,101365
54,117644,25562,143206
 50  to 54 ,658300,149930,808230
55,102352,21694,124046
56,93791,20175,113966
57,64998,14304,79302
58,76637,16255,92892
59,58043,12278,70321
 55 to 59 ,395821,84706,480527
60,142367,26610,168977
61,48178,9498,57676
62,69916,13917,83833
63,45698,8752,54450
64,63940,11072,75012
 60 to 64 ,370099,69849,439948
65,78027,13960,91987
66,48300,7959,56259
67,45604,7587,53191
68,45961,7684,53645
69,39636,6402,46038
 65 to 69 ,257528,43592,301120
70,101447,16625,118072
71,26695,4665,31360
72,40941,7355,48296
73,27998,4866,32864
74,40457,6196,46653
 70 to 74 ,237538,39707,277245
75,42441,7275,49716
76,24367,3998,28365
77,17764,3043,20807
78,26450,4539,30989
79,17764,2826,20590
 75  to 79 ,128786,21681,150467
80,51132,9014,60146
81,13871,2331,16202
82,16477,3406,19883
83,11483,2647,14130
84,17977,2947,20924
 80 to 84 ,110940,20345,131285
85,15175,2844,18019
86,8935,1700,10635
87,7148,1286,8434
88,6389,1145,7534
89,5676,1510,7186
 85 to 89 ,43323,8485,51808
90,14504,2604,17108
91,3060,617,3677
92,4577,1573,6150
93,3558,1291,4849
94,4345,1028,5373
 90 to 94 ,30044,7113,37157
 95+ ,37080,7195,44275
